Symbol;Name;Market Capital;CEO;Employees;Headquarters;Founded;Industry;Source;Source Link
ACR^C;ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ;;;;390 RXR Plaza Uniondale, NY 11556 United States;;;CNBC;https://www.cnbc.com/quotes/ACR
ACR^D;ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock;;;;390 RXR Plaza Uniondale, NY 11556 United States;;;CNBC;https://www.cnbc.com/quotes/ACR
ACRE;Ares Commercial Real Estate Corporation Common Stock;248624196.00;;;245 Park Ave, 42Nd Floor New York, NY 10167 United States;;;CNBC;https://www.cnbc.com/quotes/ACRE
ACRS;Aclaris Therapeutics Inc. Common Stock;136434361.00;Neal Walker;;701 Lee Road, Suite 103 Wayne, PA 19087 United States;;;CNBC;https://www.cnbc.com/quotes/ACRS
ACRV;Acrivon Therapeutics Inc. Common Stock;36685772.00;Peter Blume-Jensen M.D., Ph.D.;;480 Arsenal Way, Suite 100 Watertown, MA 02472 United States;;;CNBC;https://www.cnbc.com/quotes/ACRV
ACT;Enact Holdings Inc. Common Stock;5277830857.00;;;8325 Six Forks Road Raleigh, NC 27615 United States;;;CNBC;https://www.cnbc.com/quotes/ACT
ACTG;Acacia Research Corporation (Acacia Tech) Common Stock;359682165.00;;;767 3Rd Avenue, 6Th Floor New York, NY 10017 United States;;;CNBC;https://www.cnbc.com/quotes/ACTG
ACTU;Actuate Therapeutics Inc. Common stock;202671088.00;;;1751 RIVER RUN, SUITE 400 Fort Worth, TX 76107 United States;;;CNBC;https://www.cnbc.com/quotes/ACTU
ACU;Acme United Corporation. Common Stock;147419895.00;Walter Johnsen;;1 Waterview Drive, Suite 200 Shelton, CT 06484 United States;;;CNBC;https://www.cnbc.com/quotes/ACU
ACV;Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest;223528918.00;;;101 Munson Street Greenfield, MA 01301 United States;;;CNBC;https://www.cnbc.com/quotes/ACV
ACVA;ACV Auctions Inc. Class A Common Stock;2825990397.00;;;640 Ellicott St Buffalo, NY 14203 United States;;;CNBC;https://www.cnbc.com/quotes/ACVA
ACXP;Acurx Pharmaceuticals Inc. Common Stock;9392642.00;;;259 Liberty Avenue Staten Island, NY 10305 United States;;;CNBC;https://www.cnbc.com/quotes/ACXP
ADAG;Adagene Inc. American Depositary Shares;85739390.00;Peter Luo Ph.D.;;4F, Building C14, No. 218 Xinghu Street, Suzhou Industrial Park Suzhou, JNG 215123 China;;;CNBC;https://www.cnbc.com/quotes/ADAG
ADAP;Adaptimmune Therapeutics plc American Depositary Shares;445445704.00;;;60 Jubilee Avenue, Milton Park Abingdon OX14 4RX United Kingdom;;;CNBC;https://www.cnbc.com/quotes/ADAP
ADBE;Adobe Inc. Common Stock;173920554000.00;Shantanu Narayen;;345 Park Avenue San Jose, CA 95110-2704 United States;;;CNBC;https://www.cnbc.com/quotes/ADBE
ADC;Agree Realty Corporation Common Stock;8255791842.00;;;32301 Woodward Avenue Royal Oak, MI 48073 United States;;;CNBC;https://www.cnbc.com/quotes/ADC
ADC^A;Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock;;;;32301 Woodward Avenue Royal Oak, MI 48073 United States;;;CNBC;https://www.cnbc.com/quotes/ADC
ADCT;ADC Therapeutics SA Common Shares;241003235.00;;;Biopole, route de la Corniche 3B Epalinges 1066 Switzerland;;;CNBC;https://www.cnbc.com/quotes/ADCT
ADD;Color Star Technology Co. Ltd. Class A Ordinary Shares;553173.00;;;80 Broad Street, 5Th Floor New York, NY 10005 United States;;;CNBC;https://www.cnbc.com/quotes/ADD
ADEA;Adeia Inc. Common Stock;1372523128.00;;;3025 Orchard Parkway San Jose, CA 95134 United States;;;CNBC;https://www.cnbc.com/quotes/ADEA
ADGM;Adagio Medical Holdings Inc Common Stock;18304062.00;;;26051 Merit Circle, Suite 102 Laguna Hills, CA 92653 United States;;;CNBC;https://www.cnbc.com/quotes/ADGM
ADI;Analog Devices Inc. Common Stock;104388170377.00;Vincent Roche;;One Analog Way Wilmington, MA 01887 United States;;;CNBC;https://www.cnbc.com/quotes/ADI
ADIL;Adial Pharmaceuticals Inc Common Stock;5449899.00;;;1180 SEMINOLE TRAIL, SUITE 495 Charlottesville, VA 22901 United States;;;CNBC;https://www.cnbc.com/quotes/ADIL
ADM;Archer-Daniels-Midland Company Common Stock;23032773719.00;Juan Luciano;;77 W. Wacker Dr. Chicago, IL 60601 United States;;;CNBC;https://www.cnbc.com/quotes/ADM
