Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,26064148776.00,,,,,,,
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,26137070056.00,,,,,,,
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,26585015059.00,,,,,,,
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,26480841802.00,,,,,,,
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,26209991335.00,,,,,,,
AGO,Assured Guaranty Ltd. Common Stock,3913971166.00,,,,,,,
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,3169227.00,,,,,,,
AGRO,Adecoagro S.A. Common Shares,845942100.00,,,,,,,
AGX,Argan Inc. Common Stock,3113106343.00,,,,,,,
AGYS,Agilysys Inc. Common Stock (DE),3060029790.00,,,,,,,
AHCO,AdaptHealth Corp. Common Stock,1283975809.00,,,,,,,
AHG,Akso Health Group ADS,943682613.00,,,,,,,
AHH,Armada Hoffler Properties Inc. Common Stock,583556093.00,,,,,,,
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,,,,,,,
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares,3352214093.00,,,,,,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,,,,,,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,,,,,,,
AHL^F,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share,,,,,,,,
AHR,American Healthcare REIT Inc. Common Stock,7213332979.00,,,,,,,
AHT,Ashford Hospitality Trust Inc Common Stock,36731836.00,,,,,,,
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,,,,,,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,,,,,,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,,,,,,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,,,,,,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,,,,,,,
AI,C3.ai Inc. Class A Common Stock,2272466009.00,,,,,,,
AIFF,Firefly Neuroscience Inc. Common Stock,35491233.00,,,,,,,
AIFU,AIFU Inc. Class A Ordinary Share,80144869.00,,,,,,,
AIG,American International Group Inc. New Common Stock,45051593082.00,,,,,,,
AIHS,Senmiao Technology Limited Common Stock,2615616.00,,,,,,,
AII,American Integrity Insurance Group Inc. Common Stock,391243580.00,,,,,,,
AIIO,Robo.ai Inc. Class B Ordinary Shares,473363503.00,,,,,,,
AIIOW,Robo.ai Inc. Warrant,18992980.00,,,,,,,
AIM,AIM ImmunoTech Inc. Common Stock,6636286.00,,,,,,,
AIMD,Ainos Inc. Common Stock,17793029.00,,,,,,,
